Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
Tsunami,1952,03,04,"42.15, 143.85",42.15,143.85,8.1,JAPAN,,JAPAN:  HOKKAIDO,33,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,33,Few (~1 to 50 deaths),,,572,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),2422,Very Many (~1001 or more houses),,,"42.15, 143.85"
Tsunami,1952,03,09,"41.7, 142.5",41.7,142.5,7.1,JAPAN,,JAPAN:  HOKKAIDO,,,,,17,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),113,Many (~101 to 1000 houses),,,,,,,17,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),113,Many (~101 to 1000 houses),,,"41.7, 142.5"
Tsunami,1952,03,19,"9.5, 127.25",9.5,127.25,7.8,PHILIPPINES,,PHILIPPINES:  BUTUAN,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"9.5, 127.25"
,1952,07,21,"35.0, -119.017",35,-119.017,7.7,USA,CA,CALIFORNIA:  KERN COUNTY,12,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),60,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,Some (~51 to 100 houses),12,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),60.000,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,Some (~51 to 100 houses),"35.0, -119.017"
Tsunami,1952,11,04,"52.755, 160.057",52.755,160.057,9,RUSSIA,,RUSSIA:  KAMCHATKA PENINSULA,,Few (~1 to 50 deaths),,,,,,,,,,,10000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,"52.755, 160.057"
,1953,03,18,"40.0, 27.5",40,27.5,7.5,TURKEY,,"TURKEY:  YENICE, ONON",1070,Very Many (~1001 or more deaths),,,,,3.57,MODERATE (~$1 to $5 million),,,,,1070,Very Many (~1001 or more deaths),,,,,3.570,MODERATE (~$1 to $5 million),,,,,"40.0, 27.5"
Tsunami,1953,04,23,"-4.449, 152.868",-4.449,152.868,7.4,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  SOLOMON ISLANDS,,,,,,,0.013,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,.013,LIMITED (roughly corresponding to less than $1 million),,,,,"-4.449, 152.868"
Tsunami,1953,05,06,"-36.5, -72.5",-36.5,-72.5,7.6,CHILE,,"CHILE:  CHILLAN, CONCEPCION",9,Few (~1 to 50 deaths),,,26,Few (~1 to 50 deaths),500,EXTREME (~$25 million or more),,,,,9,Few (~1 to 50 deaths),,,26,Few (~1 to 50 deaths),500.000,EXTREME (~$25 million or more),,,,,"-36.5, -72.5"
Tsunami,1953,05,31,"19.8, -70.7",19.8,-70.7,7.2,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC: PUERTO PLATA,,,,,,,,,,,,,,,,,,,,,,,,,"19.8, -70.7"
,1953,07,02,"-19.0, 169.0",-19,169,7.5,VANUATU,,VANUATU ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-19.0, 169.0"
Tsunami,1953,08,12,"38.3, 20.8",38.3,20.8,7.2,GREECE,,GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA),476,Many (~101 to 1000 deaths),,,2412,Very Many (~1001 or more deaths),100,EXTREME (~$25 million or more),27773,Very Many (~1001 or more houses),,,476,Many (~101 to 1000 deaths),,,2412,Very Many (~1001 or more deaths),100.000,EXTREME (~$25 million or more),27773,Very Many (~1001 or more houses),,,"38.3, 20.8"
,1953,11,04,"-13.189, 166.516",-13.189,166.516,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-13.189, 166.516"
