Flag Tsunami,Year,Month,Day,Coordinates,Latitude,Longitude,EQ Primary,Country,State,Location name,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Coordinates
Tsunami,1959,05,04,"52.5, 159.5",52.5,159.5,8.2,RUSSIA,,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,1,Few (~1 to 50 deaths),,,13,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,1,Few (~1 to 50 deaths),,,13,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"52.5, 159.5"
,1959,06,14,"-20.369, -68.0",-20.369,-68,7.5,BOLIVIA,,BOLIVIA-NORTHERN CHILE,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-20.369, -68.0"
,1959,06,18,"53.9, 160.5",53.9,160.5,7,RUSSIA,,RUSSIA:  NEAR KAMCHATKA,,,,,,,,,,,,,,,,,,,,,,,,,"53.9, 160.5"
,1959,08,15,"22.18, 121.13",22.18,121.13,7,TAIWAN,,TAIWAN,16,Few (~1 to 50 deaths),,,63,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,16,Few (~1 to 50 deaths),,,63,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"22.18, 121.13"
Tsunami,1959,08,17,"-7.5, 156.0",-7.5,156,7.3,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,SEVERE (~>$5 to $24 million),,,,Few (~1 to 50 houses),"-7.5, 156.0"
Tsunami,1959,08,18,"44.712, -111.215",44.712,-111.215,7.7,USA,MT,MONTANA:  HEBGEN LAKE,28,Few (~1 to 50 deaths),,,,,11,SEVERE (~>$5 to $24 million),,,,Some (~51 to 100 houses),28,Few (~1 to 50 deaths),,,,,11.000,SEVERE (~>$5 to $24 million),,,,Some (~51 to 100 houses),"44.712, -111.215"
,1959,09,14,"-28.5, -177.0",-28.5,-177,7.7,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-28.5, -177.0"
,1959,10,27,"45.89, 151.11",45.89,151.11,7.2,RUSSIA,,RUSSIA:  KAMCHATKA,,,,,,,,,,,,,,,,,,,,,,,,,"45.89, 151.11"
Tsunami,1960,01,13,"-15.75, -72.75",-15.75,-72.75,7.8,PERU,,"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",63,Some (~51 to 100 deaths),,,200,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,63,Some (~51 to 100 deaths),,,200,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"-15.75, -72.75"
,1960,01,15,"-15.0, -75.0",-15,-75,7,PERU,,"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",63,Some (~51 to 100 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-15.0, -75.0"
Tsunami,1960,03,20,"39.8, 143.4",39.8,143.4,7.5,JAPAN,,JAPAN:  SANRIKU,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"39.8, 143.4"
Tsunami,1960,05,21,"-37.872, -73.243",-37.872,-73.243,8.2,CHILE,,CHILE:  CENTRAL,,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,"-37.872, -73.243"
Tsunami,1960,05,22,"-38.143, -73.407",-38.143,-73.407,9.5,CHILE,,"CHILE:  PUERTO MONTT, VALDIVIA",2000,Very Many (~1001 or more deaths),,,3000,Very Many (~1001 or more deaths),1000,EXTREME (~$25 million or more),58622,Very Many (~1001 or more houses),,,2226,Very Many (~1001 or more deaths),,,3000,Very Many (~1001 or more deaths),1000.000,EXTREME (~$25 million or more),58622,Very Many (~1001 or more houses),,,"-38.143, -73.407"
Tsunami,1960,11,01,"-38.5, -75.1",-38.5,-75.1,7.4,CHILE,,CHILE:  CONCEPCION,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-38.5, -75.1"
,1961,02,04,"24.9, 93.34",24.9,93.34,7.6,INDIA,,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,"24.9, 93.34"
Tsunami,1961,02,26,"31.6, 131.8",31.6,131.8,7.3,JAPAN,,JAPAN:  MIYAZAKI,2,Few (~1 to 50 deaths),,,7,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),170,Many (~101 to 1000 houses),170,Many (~101 to 1000 houses),2,Few (~1 to 50 deaths),,,7,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),170,Many (~101 to 1000 houses),,,"31.6, 131.8"
,1961,03,07,"-28.3, -175.7",-28.3,-175.7,7.5,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-28.3, -175.7"
Tsunami,1961,07,23,"-18.421, 168.411",-18.421,168.411,7.3,VANUATU,,VANUATU ISLANDS,,,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-18.421, 168.411"
,1961,08,19,"36.0, 136.7",36,136.7,7.3,JAPAN,,JAPAN:  HONSHU:  W COAST,10,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"36.0, 136.7"
,1961,08,31,"-10.5, -70.7",-10.5,-70.7,7.5,PERU,,PERU,,,,,,,,,,,,,,,,,,,,,,,,,"-10.5, -70.7"
,1961,09,01,"-59.5, -27.3",-59.5,-27.3,7.5,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,SOUTH SANDWICH ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-59.5, -27.3"
,1961,09,05,"-58.0, -27.0",-58,-27,7.7,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,SOUTH SANDWICH ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-58.0, -27.0"
,1961,09,08,"-56.26, -27.283",-56.26,-27.283,7.7,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,SOUTH SANDWICH ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-56.26, -27.283"
,1962,02,14,"-37.8, -72.5",-37.8,-72.5,7.3,CHILE,,CHILE:  CENTRAL,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-37.8, -72.5"
Tsunami,1962,04,12,"38.073, 142.741",38.073,142.741,7.2,JAPAN,,JAPAN:  SANRIKU,,,,,,,,,,,,,,,,,,,,,,,,,"38.073, 142.741"
Tsunami,1962,05,11,"17.2, -99.6",17.2,-99.6,7,MEXICO,,MEXICO:  S,4,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,4,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"17.2, -99.6"
Tsunami,1962,05,19,"17.2, -99.5",17.2,-99.5,7.2,MEXICO,,MEXICO:  S,3,Few (~1 to 50 deaths),,,16,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,3,Few (~1 to 50 deaths),,,16,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"17.2, -99.5"
,1962,07,26,"7.5, -82.0",7.5,-82,7.4,PANAMA,,PANAMA,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"7.5, -82.0"
,1962,09,01,"35.63, 49.87",35.63,49.87,7.2,IRAN,,IRAN:   BUYIN-ZARA,12225,Very Many (~1001 or more deaths),,,2776,Very Many (~1001 or more deaths),30,EXTREME (~$25 million or more),21310,Very Many (~1001 or more houses),,,12225,Very Many (~1001 or more deaths),,,2776,Very Many (~1001 or more deaths),30.000,EXTREME (~$25 million or more),21310,Very Many (~1001 or more houses),,,"35.63, 49.87"
Tsunami,1963,02,13,"24.5, 122.1",24.5,122.1,7.3,TAIWAN,,"TAIWAN:  TAIPEI, HSINCH",15,Few (~1 to 50 deaths),,,18,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,15,Few (~1 to 50 deaths),,,18,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"24.5, 122.1"
,1963,03,24,"34.4, 47.9",34.4,47.9,7.2,IRAN,,IRAN:  KARKHANEH,100,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"34.4, 47.9"
,1963,03,31,"37.0, 57.9",37,57.9,7,IRAN,,IRAN:  HENDOJAN,4,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),100,Some (~51 to 100 houses),,,4,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),100,Some (~51 to 100 houses),,,"37.0, 57.9"
,1963,04,19,"35.7, 97.0",35.7,97,7,CHINA,,CHINA:  QINGHAI PROVINCE,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,"35.7, 97.0"
,1963,08,15,"-13.8, -69.3",-13.8,-69.3,7.7,PERU,,PERU:  S,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-13.8, -69.3"
,1963,09,15,"-10.472, 165.77",-10.472,165.77,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-10.472, 165.77"
,1963,09,17,"-10.286, 165.413",-10.286,165.413,7.5,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-10.286, 165.413"
Tsunami,1963,09,24,"-10.385, -78.022",-10.385,-78.022,7,PERU,,"PERU:  HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ",1,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,1,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,Some (~51 to 100 houses),"-10.385, -78.022"
Tsunami,1963,10,12,"44.426, 149.272",44.426,149.272,7.1,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.426, 149.272"
Tsunami,1963,10,13,"44.77, 149.798",44.77,149.798,8.5,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"44.77, 149.798"
Tsunami,1963,10,20,"44.772, 150.563",44.772,150.563,7.9,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.772, 150.563"
,1963,11,04,"-6.86, 129.58",-6.86,129.58,8.3,INDONESIA,,INDONESIA:  BANDA SEA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-6.86, 129.58"
Tsunami,1963,12,18,"-24.8, -176.6",-24.8,-176.6,7.5,TONGA,,TONGA TRENCH,,,,,,,,,,,,,,,,,,,,,,,,,"-24.8, -176.6"
,1964,01,18,"23.2, 120.6",23.2,120.6,7,TAIWAN,,TAIWAN:  TAINAN,107,Many (~101 to 1000 deaths),,,479,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),3000,Very Many (~1001 or more houses),,,107,Many (~101 to 1000 deaths),,,479,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),3000,Very Many (~1001 or more houses),,,"23.2, 120.6"
Tsunami,1964,03,28,"61.017, -147.648",61.017,-147.648,9.2,USA,AK,ALASKA,15,Few (~1 to 50 deaths),,,,,284,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,139,Many (~101 to 1000 deaths),,,,,400.000,EXTREME (~$25 million or more),,Many (~101 to 1000 houses),,,"61.017, -147.648"
Tsunami,1964,04,02,"5.9, 95.7",5.9,95.7,7,INDONESIA,,INDONESIA:  BANDA ACEH,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,"5.9, 95.7"
Tsunami,1964,06,16,"38.65, 139.2",38.65,139.2,7.5,JAPAN,,JAPAN:  HONSHU:  W COAST,26,Few (~1 to 50 deaths),,,450,Many (~101 to 1000 deaths),80,EXTREME (~$25 million or more),2250,Very Many (~1001 or more houses),2250,Very Many (~1001 or more houses),26,Few (~1 to 50 deaths),,,450,Many (~101 to 1000 deaths),80.000,EXTREME (~$25 million or more),2250,Very Many (~1001 or more houses),,,"38.65, 139.2"
,1964,07,05,"-15.5, 166.5",-15.5,166.5,7.5,VANUATU,,VANUATU ISLANDS:  ESPIRITU SANTO ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-15.5, 166.5"
,1964,07,06,"18.3, -100.4",18.3,-100.4,7.4,MEXICO,,MEXICO:  GUERRERO,78,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,"18.3, -100.4"
,1964,10,06,"40.3, 28.2",40.3,28.2,7,TURKEY,,"TURKEY:  MANYAS, BURSA, BALIKESIR",19,Few (~1 to 50 deaths),,,,,5,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"40.3, 28.2"
Tsunami,1964,11,17,"-5.7, 150.7",-5.7,150.7,7.6,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"-5.7, 150.7"
Tsunami,1965,01,24,"-2.4, 126.1",-2.4,126.1,7.6,INDONESIA,,INDONESIA:  SANANA ISLAND,71,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),3000,Very Many (~1001 or more houses),,,71,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),3000,Very Many (~1001 or more houses),,,"-2.4, 126.1"
Tsunami,1965,02,04,"51.29, 178.55",51.29,178.55,8.7,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,.010,LIMITED (roughly corresponding to less than $1 million),,,,,"51.29, 178.55"
Tsunami,1965,02,23,"-25.67, -70.63",-25.67,-70.63,7,CHILE,,CHILE:  NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,"-25.67, -70.63"
,1965,03,14,"36.3, 70.7",36.3,70.7,7.3,AFGHANISTAN,,AFGHANISTAN,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"36.3, 70.7"
,1965,03,28,"-32.4, -71.2",-32.4,-71.2,7.3,CHILE,,CHILE:  CENTRAL,400,Many (~101 to 1000 deaths),,,,,125,EXTREME (~$25 million or more),,,,,,,,,,,,,,,,,"-32.4, -71.2"
Tsunami,1965,03,30,"50.32, 177.93",50.32,177.93,7.6,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"50.32, 177.93"
,1965,03,31,"38.6, 22.4",38.6,22.4,7.1,GREECE,,GREECE,6,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"38.6, 22.4"
Tsunami,1965,06,11,"44.7, 148.7",44.7,148.7,7.2,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"44.7, 148.7"
Tsunami,1965,08,11,"-15.8, 167.2",-15.8,167.2,7.6,VANUATU,,VANUATU ISLANDS,,,,,,,,MODERATE (~$1 to $5 million),,,,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,,,Some (~51 to 100 houses),"-15.8, 167.2"
Tsunami,1965,08,13,"-15.9, 166.8",-15.9,166.8,7.3,VANUATU,,VANUATU ISLANDS,,,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,"-15.9, 166.8"
Tsunami,1965,08,23,"16.3, -95.8",16.3,-95.8,7.8,MEXICO,,"MEXICO:  ME\XICO CITY, OAXACA",6,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),6,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 houses),"16.3, -95.8"
,1966,03,07,"37.35, 114.92",37.35,114.92,7.4,CHINA,,CHINA:  HEBEI PROVINCE,,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"37.35, 114.92"
Tsunami,1966,03,12,"24.1, 122.6",24.1,122.6,8,TAIWAN,,TAIWAN,7,Few (~1 to 50 deaths),,,10,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,7,Few (~1 to 50 deaths),,,10,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"24.1, 122.6"
,1966,03,20,"0.6, 30.2",0.6,30.2,7,UGANDA,,"UGANDA:  KICHWAMBA, BONDIBOGYO",140,Many (~101 to 1000 deaths),,,,Many (~101 to 1000 deaths),1.5,MODERATE (~$1 to $5 million),,,,,140,Many (~101 to 1000 deaths),,,,Many (~101 to 1000 deaths),1.500,MODERATE (~$1 to $5 million),,,,,"0.6, 30.2"
,1966,03,22,"37.5, 115.1",37.5,115.1,7.6,CHINA,,CHINA:  HEBEI PROVINCE,,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,,Many (~101 to 1000 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),,,"37.5, 115.1"
Tsunami,1966,06,15,"-10.343, 160.883",-10.343,160.883,7.1,SOLOMON ISLANDS,,SOLOMON ISLANDS:  GUADALCANAL,,,,,,,,,,,,,,,,,,,,,,,,,"-10.343, 160.883"
Tsunami,1966,10,17,"-10.748, -78.638",-10.748,-78.638,8.1,PERU,,"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",110,Many (~101 to 1000 deaths),,,3000,Very Many (~1001 or more deaths),35,EXTREME (~$25 million or more),,,,,110,Many (~101 to 1000 deaths),,,3000,Very Many (~1001 or more deaths),35.000,EXTREME (~$25 million or more),,,,,"-10.748, -78.638"
Tsunami,1966,12,28,"-25.5, -70.7",-25.5,-70.7,7.8,CHILE,,"CHILE:  TALTAL, CATALINA",3,Few (~1 to 50 deaths),,,6,Few (~1 to 50 deaths),0.4,LIMITED (roughly corresponding to less than $1 million),,Many (~101 to 1000 houses),,,3,Few (~1 to 50 deaths),,,6,Few (~1 to 50 deaths),.400,LIMITED (roughly corresponding to less than $1 million),,Many (~101 to 1000 houses),,,"-25.5, -70.7"
Tsunami,1966,12,31,"-11.893, 166.445",-11.893,166.445,7.8,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-11.893, 166.445"
Tsunami,1966,12,31,"-12.334, 166.684",-12.334,166.684,7.2,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"-12.334, 166.684"
,1967,01,05,"48.1, 102.8",48.1,102.8,7.5,MONGOLIA,,MONGOLIA,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"48.1, 102.8"
Tsunami,1967,03,19,"45.53, 151.11",45.53,151.11,7,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"45.53, 151.11"
,1967,07,22,"40.7, 30.8",40.7,30.8,7.3,TURKEY,,"TURKEY:  MUDURNU, ADAPAZARI",86,Some (~51 to 100 deaths),,,,,3,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"40.7, 30.8"
Tsunami,1967,09,03,"-10.6, -79.8",-10.6,-79.8,7,PERU,,PERU:  OFF COAST,,,,,,,,,,,,,,,,,,,,,,,,,"-10.6, -79.8"
,1967,10,25,"24.5, 122.2",24.5,122.2,7,TAIWAN,,TAIWAN:  HUALIEN,2,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),23,Few (~1 to 50 houses),,,2,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),23,Few (~1 to 50 houses),,,"24.5, 122.2"
Tsunami,1967,12,21,"-21.7, -69.5",-21.7,-69.5,7.5,CHILE,,CHILE:  NORTHERN,1,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,1,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"-21.7, -69.5"
Tsunami,1968,01,29,"43.586, 146.701",43.586,146.701,7.3,RUSSIA,,RUSSIA:  KURIL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,"43.586, 146.701"
,1968,02,12,"-5.5, 153.2",-5.5,153.2,7.8,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-5.5, 153.2"
Tsunami,1968,02,19,"39.368, 24.957",39.368,24.957,7.2,GREECE,,GREECE:  AEGEAN SEA:  ST EUSTRATIOS,20,Few (~1 to 50 deaths),,,18,Few (~1 to 50 deaths),0.6,LIMITED (roughly corresponding to less than $1 million),500,Many (~101 to 1000 houses),1951,Very Many (~1001 or more houses),20,Few (~1 to 50 deaths),,,18,Few (~1 to 50 deaths),.600,LIMITED (roughly corresponding to less than $1 million),500,Many (~101 to 1000 houses),1951,Very Many (~1001 or more houses),"39.368, 24.957"
,1968,02,28,"37.7, -29.4",37.7,-29.4,7.6,AZORES (PORTUGAL),,AZORES,,,,,,,,,,,,,,,,,,,,,,,,,"37.7, -29.4"
Tsunami,1968,04,01,"32.3, 132.5",32.3,132.5,7.5,JAPAN,,"JAPAN:  KYUSHU, SHIKOKU",1,Few (~1 to 50 deaths),,,22,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,1,Few (~1 to 50 deaths),,,22,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,"32.3, 132.5"
Tsunami,1968,05,16,"40.8, 143.2",40.8,143.2,8.2,JAPAN,,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,52,Some (~51 to 100 deaths),,,330,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),689,Many (~101 to 1000 houses),,,52,Some (~51 to 100 deaths),,,330,Many (~101 to 1000 deaths),131.000,EXTREME (~$25 million or more),1218,Very Many (~1001 or more houses),,,"40.8, 143.2"
Tsunami,1968,05,16,"41.5, 142.7",41.5,142.7,7.5,JAPAN,,JAPAN:  OFF COAST OF HONSHU ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,"41.5, 142.7"
,1968,05,23,"-41.7, 172.0",-41.7,172,7.1,NEW ZEALAND,,NEW ZEALAND:  SOUTH ISLAND:  NW COAST,3,Few (~1 to 50 deaths),,,,,3,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"-41.7, 172.0"
,1968,05,28,"-2.9, 139.3",-2.9,139.3,7.7,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,,,,,,,,,,,,,,,,,,,,,,"-2.9, 139.3"
Tsunami,1968,06,12,"39.4, 143.1",39.4,143.1,7.2,JAPAN,,JAPAN:  SANRIKU,,,,,,,,,,,,,,,,,,,,,,,,,"39.4, 143.1"
,1968,06,19,"-5.6, -77.2",-5.6,-77.2,7,PERU,,"PERU:  SAN MARTIN,MOYOBAMBA,YANTALO,RIOJA,LAMAS",15,Few (~1 to 50 deaths),,,,,0.1,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-5.6, -77.2"
Tsunami,1968,07,25,"-30.8, -178.4",-30.8,-178.4,7.3,KERMADEC ISLANDS (NEW ZEALAND),,"KERMADEC ISLANDS:  S OF, RAOUL",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,,,,,"-30.8, -178.4"
Tsunami,1968,08,01,"16.5, 122.2",16.5,122.2,7.3,PHILIPPINES,,PHILIPPINES:  LUZON:  MANILA,270,Many (~101 to 1000 deaths),,,261,Many (~101 to 1000 deaths),8,SEVERE (~>$5 to $24 million),,Few (~1 to 50 houses),,Many (~101 to 1000 houses),270,Many (~101 to 1000 deaths),,,261,Many (~101 to 1000 deaths),8.000,SEVERE (~>$5 to $24 million),,Few (~1 to 50 houses),,Many (~101 to 1000 houses),"16.5, 122.2"
,1968,08,02,"16.5, -97.8",16.5,-97.8,7.5,MEXICO,,"MEXICO:  OAXACA, GUERRERO",18,Few (~1 to 50 deaths),,,,,2.4,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,"16.5, -97.8"
Tsunami,1968,08,10,"1.4, 126.2",1.4,126.2,7.6,INDONESIA,,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,"1.4, 126.2"
Tsunami,1968,08,14,"0.2, 119.8",0.2,119.8,7.4,INDONESIA,,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",,,,,,,,,,,,,200,Many (~101 to 1000 deaths),,,58,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),800,Many (~101 to 1000 houses),,,"0.2, 119.8"
,1968,08,31,"34.0, 59.0",34,59,7.3,IRAN,,IRAN:  DASHT-E-BAYAZ,10488,Very Many (~1001 or more deaths),,,17000,Very Many (~1001 or more deaths),35,EXTREME (~$25 million or more),12000,Very Many (~1001 or more houses),,,10488,Very Many (~1001 or more deaths),,,17000,Very Many (~1001 or more deaths),35.000,EXTREME (~$25 million or more),12000,Very Many (~1001 or more houses),,,"34.0, 59.0"
